At what type of location do you live? ,Are you a 10MS Paid User or not?,Are you the student / the parent?,Gender,Location (District),Location (Division),Which grade is the student in?,What is the highest level of education of the students' parents?,At what type of school does the student pursue full-time education?,How does the student (or their family) fund the student's education? ,What was the student's marks in their most recent academic year?,Does the student have his/her own mobile phone or uses a shared mobile phone?,"On a scale of 1-5 with 1 being Strongly Disagree to 5 Strongly Agree, has the student has seen an improvement in their learning since they started using 10MS.",How likely is the student to recommend 10MS to a friend? (10 (very likely) to 1 (very unlikely)),"What is the monthly  income of the student's household? (Please ask your parent, in case you are a student)","What is the amount of monthly school fees paid for the student? (in BDT)

(raw data)","What is the amount of monthly school fees paid for the student? (in BDT)

(cleaned data)","What is the cost of after-school tuition class for the student, per subject per month?

(raw data)","What is the cost of after-school tuition class for the student, per subject per month?

(cleaned data)",Why did you choose to use 10MS? (Can select more than one),,,,,,"If any, which of the following improvements has the student witnessed due to using 10MS? (can choose multiple ones)",,,,,,What would you like to see at 10MS in future?,,,,,
Village/Sub-district,Yes,Student ,Male,Joypurhat,Rajshahi,Grade 10,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,4,6,"> BDT 45,000","60,000","60,000","14,000","14,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,More Subjects,Strengthen on-line student community,,,,
Divisional City/City Corporation,No,Student ,Female,Chittagong,Chittagong,Grade 10,Up to Masters,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,4,9,"> BDT 45,000","60,000taka (approximately)","60,000",Coaching 1000 taka.. ,"1,000",Content quality,Quality of teachers,Others,,,,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,,More Subjects,More options for student tutoring/support,,,,
Village/Sub-district,Yes,Student ,Male,Dhaka,Dhaka,Grade 10,Up to University (Bachelor's),Private school,Self-pay/Sourced from Family,60 to 70,Do not own or share a mobile,4,8,"BDT 24,000 - 45,000","60,000","60,000","5,000","5,000",Content quality,Quality of teachers,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
District City,Yes,Student ,Male,Rajshahi,Rajshahi,Grade 11,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,5,6,"BDT 16,000 - 24,000","60,000","60,000","2,500","2,500",Quality of teachers,Online community of learners,Cheaper cost of access,Others,,,The student feels more motivated in their studies.,,,,,,More Subjects,More classes for low connectivity locations (lower data usage),Lower cost,,,
Village/Sub-district,Yes,Student ,Female,Cumilla,Chittagong,Grade 11,Upto Grade 10,"Public school, government run",Grant (financial aid from school or govenrment),80 to 100 ,Shared mobile phone within the family,4,10,"> BDT 45,000",আমার 5000tk আমার ভাইয়ের 50000 tk,"55,000",5000tk,"5,000",Quality of teachers,,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,Strengthen on-line student community,,,,,
Divisional City/City Corporation,Yes,Student ,Female,Narayanganj,Dhaka,Grade 10,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Shared mobile phone within the family,5,10,"> BDT 45,000","50,000","50,000",10–15000,"12,500",Content quality,Quality of teachers,"Convenience, no need to travel",,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,No,Student ,Male,Sylhet,Sylhet,Grade 10,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Own mobile phone,5,10,"> BDT 45,000","প্রতি মাসে ৫০,০০০ এর উপরে","50,000","প্রতি মাসে আমার পিছনে ৫,০০০ টাকার উপরে ","5,000",Content quality,Quality of teachers,Online community of learners,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,Strengthen on-line student community,,,,,
District City,No,Student ,Male,Tangail,Dhaka,Grade 10,Up to Masters,Private school,Self-pay/Sourced from Family,70 to 80,Own mobile phone,3,0,"> BDT 45,000","50,000","50,000","5,000","5,000",Others,,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,No,Student ,Male,Tangail,Dhaka,Grade 11,Upto Grade 10,Private school,Self-pay/Sourced from Family,70 to 80,Own mobile phone,3,5,"BDT 24,000 - 45,000","50,000","50,000","4,500","4,500",Others,,,,,,The student has seen an increase in their grades.,,,,,,More Subjects,,,,,
Divisional City/City Corporation,Yes,Student ,Female,Dhaka,Dhaka,Grade 11,Up to Masters,Private school,Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,9,"> BDT 45,000","50,000","50,000","5,000","5,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Cheaper cost of access,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,Lower cost,,
Divisional City/City Corporation,Yes,Student ,Female,Dhaka,Dhaka,Grade 12,Up to University (Bachelor's),Private school,Self-pay/Sourced from Family,Below 60,Shared mobile phone within the family,4,10,"BDT 24,000 - 45,000","more than 50, 000 ","50,000","8,000","8,000",Content quality,Quality of teachers,"Convenience, no need to travel",Cheaper cost of access,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),,,
District City,Yes,Student ,Male,Lakshmipur,Chittagong,Grade 07,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,4,7,"> BDT 45,000","50,000","50,000","3,000","3,000",Content quality,Quality of teachers,"Convenience, no need to travel",Cheaper cost of access,,,The student feels more motivated in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,No,Student ,Male,Dhaka,Dhaka,Grade 10,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Own mobile phone,5,10,"BDT 16,000 - 24,000","50,000","50,000",500,500,Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,,,,,
District City,Yes,Student ,Male,Brahmanbaria,Chittagong,Grade 11,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,3,7,"> BDT 45,000",45k,"45,000",12k+,"12,000",Quality of teachers,,,,,,The student feels more motivated in their studies.,,,,,,More Subjects,,,,,
Village/Sub-district,Yes,Student ,Female,Dhaka,Dhaka,Grade 12,Up to Masters,Private school,Self-pay/Sourced from Family,Below 60,Own mobile phone,5,10,"BDT 16,000 - 24,000",Around 45000,"45,000",I do online course.,0,Quality of teachers,Travel restriction to in-person centers,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,,,,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,,
Village/Sub-district,Yes,Student ,Male,Moulvibazar,Sylhet,Grade 12,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Own mobile phone,3,10,"> BDT 45,000","44,849","44,849",বর্তমানে নেই। অাগে ২৪০০-২৫০০ যেতো ,"2,500",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Online community of learners,Cheaper cost of access,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
District City,Yes,Student ,Female,Rangpur,Rangpur,Grade 09,Up to University (Bachelor's),"Public school, government run",Grant (financial aid from school or govenrment),80 to 100 ,Own mobile phone,5,10,"BDT 24,000 - 45,000","ইউনিভার্সিটির বেতন ফি ৪৪,০০০","44,000","গণিত -৫০০০, ইংলিশ -৩০০০, বায়োলজি -১০০০, ফিজিক্স -১০০০, কেমিস্ট্রি -১০০০","11,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Safety or health related reasons,Online community of learners,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,More Subjects,Lower cost,,,,
Divisional City/City Corporation,Yes,Student ,Female,Mymensingh,Mymensingh,Grade 11,Up to Masters,Private school,Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,10,"BDT 24,000 - 45,000",40000tk,"40,000",4000tk,"4,000",Content quality,Quality of teachers,"Convenience, no need to travel",Online community of learners,Cheaper cost of access,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More options for student tutoring/support,More classes for low connectivity locations (lower data usage),Lower cost,,,
Divisional City/City Corporation,Yes,Student ,Male,Khulna,Khulna,Grade 11,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,2,0,"BDT 24,000 - 45,000","40,000","40,000","20,000","20,000",Cheaper cost of access,,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More options for student tutoring/support,More classes for low connectivity locations (lower data usage),Lower cost,,
District City,No,Student ,Female,Dhaka,Dhaka,Grade 11,Up to Masters,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,5,10,"> BDT 45,000","40,000","40,000","15,000","15,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Cheaper cost of access,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Divisional City/City Corporation,Yes,Student ,Male,Mymensingh,Mymensingh,Grade 10,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,10,"> BDT 45,000","40,000","40,000","15,000","15,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Safety or health related reasons,Online community of learners,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
District City,Yes,Student ,Male,Khagrachari,Chittagong,Grade 12,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Do not own or share a mobile,4,8,"> BDT 45,000","40,000","40,000","20,000","20,000",Quality of teachers,,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More options for student tutoring/support,Strengthen on-line student community,Lower cost,,,
Village/Sub-district,No,Student ,Female,Kurigram,Rangpur,Grade 12,Up to Masters,Private school,Self-pay/Sourced from Family,Below 60,Own mobile phone,4,10,"BDT 24,000 - 45,000",36000+,"36,000","15,000","15,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Safety or health related reasons,Cheaper cost of access,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More options for student tutoring/support,More classes for low connectivity locations (lower data usage),Lower cost,,
Divisional City/City Corporation,Yes,Student ,Female,Rajshahi,Rajshahi,Grade 09,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,10,"> BDT 45,000","almost 35,000","35,000","math hm 4500, eng 3000, chem 2500, bio 6000 for 6 month","16,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Safety or health related reasons,Online community of learners,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,Yes,Student ,Female,Sirajganj,Rajshahi,Grade 12,Up to Grade 12,Private school,Self-pay/Sourced from Family,Below 60,Own mobile phone,3,3,"> BDT 45,000","35,000","35,000","physics, chemistry, math- 3×600= 1800 tk","1,800",Content quality,Travel restriction to in-person centers,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,Strengthen on-line student community,,,,
Divisional City/City Corporation,Yes,Student ,Female,Narayanganj,Dhaka,Grade 12,Up to University (Bachelor's),Private school,Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,3,8,"> BDT 45,000","35,000","35,000","20,000","20,000",Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,More options for student tutoring/support,,,,,
Divisional City/City Corporation,Yes,Student ,Male,Brahmanbaria,Chittagong,Grade 12,Up to Masters,Private school,Self-pay/Sourced from Family,Below 60,Own mobile phone,2,3,"BDT 24,000 - 45,000","35,000","35,000",কলেজে টিউশন ফি ২৫০০/- | টিউশন ১২০০০/-,"12,000",Content quality,,,,,,The student feels more effective/efficient in their studies.,No improvement was seen,,,,,Lower cost,,,,,
District City,Yes,Student ,Male,Faridpur,Dhaka,Grade 11,Up to University (Bachelor's),"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,10,"BDT 24,000 - 45,000","35,000","35,000","6,200","6,200",Content quality,Quality of teachers,Cheaper cost of access,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,Lower cost,,,,,
Divisional City/City Corporation,Yes,Student ,Male,Gazipur,Dhaka,Grade 11,Up to Masters,Private school,Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,3,7,"> BDT 45,000","35,000tk","35,000",Physics -2000tk hmath-2000tk,"4,000",Travel restriction to in-person centers,Cheaper cost of access,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,Lower cost,,,
District City,Yes,Student ,Do not want to disclose,Dhaka,Dhaka,Grade 11,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,Below 60,Own mobile phone,2,5,"> BDT 45,000",35 hajar,"35,000","Physics-7k,chemistry-2.5k,Biology -4k,bangla-500,English-1k,math-5k,","20,000",Online community of learners,,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,Yes,Student ,Male,Sylhet,Sylhet,Grade 12,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Own mobile phone,5,10,"BDT 24,000 - 45,000",35k,"35,000",2k,"2,000",Quality of teachers,,,,,,The student has seen an increase in their grades.,,,,,,More options for student tutoring/support,,,,,
District City,Yes,Student ,Female,Sylhet,Sylhet,Grade 11,Up to University (Bachelor's),"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,4,10,"BDT 12,000 - 16,000","35,000","35,000","6,000","6,000",Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,,,,,
District City,No,Student ,Male,Dinajpur,Rangpur,Grade 12,Up to Masters,"Public school, government run",Other,70 to 80,Own mobile phone,3,7,"< BDT 12,000",৩৩ হাজার ,"33,000",0,0,Content quality,Quality of teachers,Cheaper cost of access,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,More Subjects,More classes for low connectivity locations (lower data usage),Lower cost,,,
District City,Yes,Student ,Male,Chittagong,Chittagong,Grade 12,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Own mobile phone,4,10,"BDT 24,000 - 45,000",30হাজার ,"30,000",২০ হাজার ,"20,000",Content quality,Quality of teachers,,,,,The student feels more motivated in their studies.,,,,,,Lower cost,,,,,
Divisional City/City Corporation,No,Student ,Male,Sunamganj,Sylhet,Grade 07,Up to Masters,Private school,Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,10,"> BDT 45,000","30,000","30,000","10,000","10,000",Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More classes for low connectivity locations (lower data usage),,,,
Divisional City/City Corporation,Yes,Student ,Male,Dhaka,Dhaka,Grade 12,Up to University (Bachelor's),"Public school, government run",Self-pay/Sourced from Family,60 to 70,Shared mobile phone within the family,5,10,"BDT 24,000 - 45,000",30k pray,"30,000",15k ,"15,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Others,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),,,
Divisional City/City Corporation,Yes,Student ,Male,Chittagong,Chittagong,Grade 11,Upto Grade 10,Private school,Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,2,5,"BDT 24,000 - 45,000","30,000","30,000","16,000","16,000","Convenience, no need to travel",,,,,,The student feels more effective/efficient in their studies.,,,,,,More options for student tutoring/support,,,,,
Village/Sub-district,Yes,Student ,Male,Narayanganj,Dhaka,Grade 09,Up to Grade 12,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,1,0,"< BDT 12,000","30,000","30,000","8,000","8,000",Others,,,,,,No improvement was seen,,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Divisional City/City Corporation,No,Student ,Male,Dhaka,Dhaka,Grade 11,Up to Masters,Private school,Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,2,6,"> BDT 45,000","30,000","30,000",Math-1500 physics 1500 chemistry -1500 biology -1500 English -1500,"7,500",Quality of teachers,"Convenience, no need to travel",Cheaper cost of access,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,Lower cost,,,,
District City,Yes,Student ,Female,Dinajpur,Rangpur,Grade 12,Up to Masters,"Public school, government run",Loan,80 to 100 ,Own mobile phone,4,10,"BDT 16,000 - 24,000",30000 approccimate,"30,000",Mess rent 2000 private 5000 meal 1000,"5,000",Quality of teachers,,,,,,The student feels more motivated in their studies.,,,,,,More options for student tutoring/support,,,,,
Divisional City/City Corporation,Yes,Student ,Male,Cumilla,Chittagong,Grade 11,Up to University (Bachelor's),Private school,Self-pay/Sourced from Family,60 to 70,Own mobile phone,5,10,"BDT 24,000 - 45,000","30,000","30,000","12,000","12,000",Content quality,,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,Lower cost,,,,,
Divisional City/City Corporation,Yes,Student ,Female,Sylhet,Sylhet,Grade 11,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,4,8,"> BDT 45,000","30,000","30,000","8,000","8,000",Content quality,Quality of teachers,Online community of learners,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,Strengthen on-line student community,,,,,
Divisional City/City Corporation,Yes,Student ,Female,Dhaka,Dhaka,Grade 09,Up to Masters,Private school,Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,10,"BDT 16,000 - 24,000","30,000","30,000",Ami shb cls online e kori ten min scl er teachers der kache,0,Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Safety or health related reasons,Online community of learners,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Divisional City/City Corporation,Yes,Student ,Female,Faridpur,Dhaka,Grade 12,Up to University (Bachelor's),"Public school, government run",Self-pay/Sourced from Family,60 to 70,Own mobile phone,5,10,"BDT 24,000 - 45,000","30,000","30,000",4k,"4,000",Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,Strengthen on-line student community,,,,,
Divisional City/City Corporation,Yes,Student ,Male,Dhaka,Dhaka,Grade 11,Up to Grade 12,Private school,Other,80 to 100 ,Own mobile phone,4,10,"BDT 16,000 - 24,000","30,000","30,000","22,000","22,000",Content quality,Quality of teachers,"Convenience, no need to travel",Safety or health related reasons,Online community of learners,Cheaper cost of access,The student feels more motivated in their studies.,,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,Yes,Student ,Male,Chittagong,Chittagong,Grade 12,Up to University (Bachelor's),"Public school, government run",Other,60 to 70,Shared mobile phone within the family,4,8,"BDT 16,000 - 24,000",30k,"30,000",2k,"2,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Cheaper cost of access,Others,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Divisional City/City Corporation,Yes,Student ,Male,Dhaka,Dhaka,Grade 09,Upto Grade 10,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,3,4,"> BDT 45,000","30,000","30,000","4,000","4,000",Content quality,Quality of teachers,,,,,The student feels more effective/efficient in their studies.,,,,,,More options for student tutoring/support,Strengthen on-line student community,Lower cost,,,
Divisional City/City Corporation,Yes,Student ,Female,Dhaka,Dhaka,Grade 11,Up to Masters,Private school,Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,4,10,"> BDT 45,000","30,000+","30,000","10,000","10,000",Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Divisional City/City Corporation,Yes,Student ,Male,Joypurhat,Rajshahi,Grade 12,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Own mobile phone,4,10,"BDT 24,000 - 45,000","30,000","30,000","10,000","10,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Cheaper cost of access,,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,,More Subjects,More options for student tutoring/support,More classes for low connectivity locations (lower data usage),Lower cost,,
